transactiondate,product,product_GBU,yearmth,customer_no,billto_customer_name,Extract_Number,customer_no_dupes,bill_to_custname_wo_dupes,st_customer_name,st_customer_no,invoice_no,invoice_type,revenue,cost,Quantity,sale_amount,Profit-Loss
5/19/2024,Freight UR,Uro,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Peterborough Regional Health CentreAttn: Receiving,20163246,90376617,Invoice,8.65,0,1,8.65,8.65
7/6/2024,T-Doc Catheters,Uro,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Peterborough Regional Health CentreAttn: Receiving,20163246,90377279,Invoice,1787.52,150.11,40,71500.8,71350.69
7/21/2024,T-Doc Catheters,Uro,202301,1022057,Mercy Health System **CONSOLIDATED use 1021304*,1021304,Cust Info Not Found,Cust Info Not Found,Mercy Javon Bea Hopsital RocktonAttn: Receiving,20076765,90377514,Invoice,1998,92.4,20,39960,39867.6
7/28/2024,RenovaRP Consumables,GI,202301,1087546,Decatur Hospital Authority *CONSOLIDATED use 1115087*,1115087,Cust Info Not Found,Cust Info Not Found,HCA Medical City DecaturAttn: Receiving,20168478,90377645,Invoice,195,115,20,3900,3785
8/4/2024,Kiwi,CI,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Cortellucci Vaughan HospitalAttn: CVH-RECEIVING DOCK 1-2-3-4,20166327,90377280,Invoice,1990.11,290.13,40,79604.4,79314.27
8/30/2024,T-Doc Catheters,Uro,202301,1022057,Mercy Health System **CONSOLIDATED use 1021304*,1021304,Cust Info Not Found,Cust Info Not Found,Mercy Javon Bea Hopsital RocktonAttn: Receiving,20076765,90377514,Invoice,1340,57.8,20,26800,26742.2
9/13/2024,Freight UR,Uro,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Peterborough Regional Health CentreAttn: Receiving,20163246,90377279,Invoice,9.97,0,1,9.97,9.97
9/13/2024,Freight UR,Uro,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Cortellucci Vaughan HospitalAttn: CVH-RECEIVING DOCK 1-2-3-4,20166327,90377280,Invoice,18.62,0,1,18.62,18.62
10/2/2024,Freight UR,Uro,202301,1022057,Mercy Health System **CONSOLIDATED use 1021304*,1021304,Cust Info Not Found,Cust Info Not Found,Mercy Javon Bea Hopsital RocktonAttn: Receiving,20076765,90377514,Invoice,25,0,1,25,25
10/12/2024,Freight UR,Uro,202301,1087546,Decatur Hospital Authority *CONSOLIDATED use 1115087*,1115087,Cust Info Not Found,Cust Info Not Found,HCA Medical City DecaturAttn: Receiving,20168478,90377645,Invoice,28.8,0,1,28.8,28.8
10/23/2024,Kiwi,CI,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Southlake Regional Health CentreAttn: Receiving,20163249,90377918,Invoice,400.7,52.76,10,4007,3954.24
11/8/2024,Other Uro Dx Disposables,Uro,202301,1022396,Willis Knighton: Ark-La-Tex Urology **CONSOLIDATED USE 1023379**,1023379,Cust Info Not Found,Cust Info Not Found,WK Ark-La-Tex Urology BossierAttn: Receiving,20070956,90378160,Invoice,60,7.2,20,1200,1192.8
11/16/2024,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,Lake City VA Medical CenterAttn: Warehouse,20079635,90378247,Invoice,0,35.84,0,0,-35.84
11/18/2024,T-Doc Catheters,Uro,202301,1083981,"Barbara Plucknett, MD **CONSOLIDATED use 1108058*",1108058,Cust Info Not Found,Cust Info Not Found,"Barbara Plucknett, MDAttn: Receiving",20167867,90378279,Invoice,999,46.2,10,9990,9943.8
12/4/2024,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,Lake City VA Medical CenterAttn: Warehouse,20079635,90378247,Invoice,0,201,0,0,-201
12/5/2024,T-Doc Catheters,Uro,202301,1083981,"Barbara Plucknett, MD **CONSOLIDATED use 1108058*",1108058,Cust Info Not Found,Cust Info Not Found,"Barbara Plucknett, MDAttn: Receiving",20167867,90378279,Invoice,670,28.9,10,6700,6671.1
12/26/2024,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,Lake City VA Medical CenterAttn: Warehouse,20079635,90378247,Invoice,2095,0,1,2095,2095
1/4/2025,Freight UR,Uro,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Southlake Regional Health CentreAttn: Receiving,20163249,90377918,Invoice,18.62,0,1,18.62,18.62
1/22/2025,Freight UR,Uro,202301,1022396,Willis Knighton: Ark-La-Tex Urology **CONSOLIDATED USE 1023379**,1023379,Cust Info Not Found,Cust Info Not Found,WK Ark-La-Tex Urology BossierAttn: Receiving,20070956,90378160,Invoice,19.73,0,1,19.73,19.73
1/29/2025,Freight UR,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,Lake City VA Medical CenterAttn: Warehouse,20079635,90378247,Invoice,40.68,0,1,40.68,40.68
1/31/2025,Freight UR,Uro,202301,1083981,"Barbara Plucknett, MD **CONSOLIDATED use 1108058*",1108058,Cust Info Not Found,Cust Info Not Found,"Barbara Plucknett, MDAttn: Receiving",20167867,90378279,Invoice,22.05,0,1,22.05,22.05
