transactiondate,product,product_GBU,yearmth,customer_no,billto_customer_name,Extract_Number,customer_no_dupes,bill_to_custname_wo_dupes,st_customer_name,st_customer_no,invoice_no,invoice_type,revenue,cost,Quantity,sale_amount,Profit-Loss
1/4/2023,Koala,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Minneapolis MinnesotaATTN: Receiving,20163158,90374202,Invoice,450,175.7,10,4500,4324.3
1/4/2023,ROM,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Minneapolis MinnesotaATTN: Receiving,20163158,90374202,Invoice,255,184.5,30,7650,7465.5
1/4/2023,Traxi,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Minneapolis MinnesotaATTN: Receiving,20163158,90374202,Invoice,2040,267.3,30,61200,60932.7
1/4/2023,Traxi,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Minneapolis MinnesotaATTN: Receiving,20163158,90374202,Invoice,910,59.2,20,18200,18140.8
1/4/2023,BoogieBaby,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Bangor MaineATTN: Receiving,20163190,90374203,Invoice,155.25,40,100,15525,15485
1/4/2023,BoogieBaby,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Bangor MaineATTN: Receiving,20163190,90374203,Invoice,200,41,100,20000,19959
1/4/2023,Kiwi,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Boston MassachusettsATTN: Receiving,20163178,90374204,Invoice,175,32.05,5,875,842.95
1/4/2023,Clearview,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Boston MassachusettsATTN: Receiving,20163178,90374204,Invoice,1125,240.3,15,16875,16634.7
1/4/2023,BoogieBaby,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Boston MassachusettsATTN: Receiving,20163178,90374204,Invoice,200,41,100,20000,19959
1/4/2023,Traxi,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Boston MassachusettsATTN: Receiving,20163178,90374204,Invoice,3400,445.5,50,170000,169554.5
1/4/2023,Kiwi,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Chicago IllinoisATTN: Receiving,20163160,90374205,Invoice,1750,261.5,50,87500,87238.5
1/4/2023,BoogieBaby,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Chicago IllinoisATTN: Receiving,20163160,90374205,Invoice,155.25,40,100,15525,15485
1/4/2023,BoogieBaby,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Chicago IllinoisATTN: Receiving,20163160,90374205,Invoice,1000,260,500,500000,499740
1/4/2023,Traxi,CI,202301,1078784,OM Owens & Minor,,1078784,OM Owens & Minor,OM Chicago IllinoisATTN: Receiving,20163160,90374205,Invoice,680,89.1,10,6800,6710.9
